id,job,area,income,aspect,subscriptions,dist_healthy,save_rate,dist_unhealthy,age,pop_dense,retail_dense,crime,product
41,dz,d,35183,5.0833,1,5.2641,28,7.9800,45,.8622,.5787,.1437,a
42,ke,d,23352,16.2417,1,2.8160,-13,4.0823,50,.8976,.4606,.0778,a
43,bf,d,32916,34.2250,3,12.9893,141,5.1716,36,.9134,.9016,.0680,a
44,dz,c,40603,19.7083,3,9.2899,109,3.5751,50,.8819,.3504,.1396,a
45,kl,d,35042,35.3083,2,3.6321,22,8.6635,37,.9055,.8622,.1386,a
46,dz,c,45350,29.8917,2,11.1124,196,13.0951,40,.9921,.8346,.0488,a
47,kl,d,33731,39.7500,4,6.0802,85,9.4217,32,.6535,.7244,.1402,a
48,by,c,47156,16.3500,1,3.8225,2,8.8130,50,.8858,.4252,.1019,a
49,kl,d,38726,40.9417,2,3.8225,11,6.4850,42,.8346,.6614,.1719,a
50,kl,d,36600,41.1583,2,3.8225,36,6.1593,40,.7953,.6535,.0544,a
51,dz,c,41241,18.5167,2,5.2641,-36,8.9304,50,.9055,.4213,.2112,a
52,kl,d,25549,36.8250,3,2.8160,15,2.8009,33,.8071,.8701,.0913,a
53,kl,d,35396,38.8833,2,2.8160,15,4.4241,39,.8425,.7441,.1066,a
54,ax,d,29906,14.7250,3,14.7845,167,4.9900,51,.7598,.2087,.0503,a
55,dz,d,34688,16.3500,3,4.9377,49,8.5674,52,.7598,.1614,.0954,a
56,kl,d,27284,36.6083,3,3.8225,41,4.8832,35,.8386,.8661,.0397,a
57,dz,c,37309,28.1583,1,2.0000,0,5.8443,45,.9882,.7205,.1468,a
58,dz,c,45491,26.5333,1,11.8196,87,10.0303,46,.9843,.6732,.2714,a
59,kl,c,44570,5.1917,1,7.7666,0,6.4423,45,.8425,.5669,.1666,a
60,dz,c,48254,23.9333,1,6.1618,7,12.7160,47,.9803,.6142,.0477,a
61,bf,d,38159,14.9417,0,18.3207,113,6.2287,48,.9173,.5472,.1609,a
62,dz,d,34936,18.0833,2,4.3121,37,9.1440,51,.8583,.3150,.1231,a
63,kl,d,29764,34.9833,4,4.9377,105,3.2921,29,.8071,.9567,.0862,a
64,bf,d,36884,5.7333,0,13.5877,141,9.8862,46,.8780,.5748,.0980,a
65,dz,d,25903,34.2250,3,2.8160,21,4.0823,35,.9094,.9094,.0445,a
66,kl,d,31925,42.5667,4,14.4853,86,5.3798,37,.6299,.5354,.1087,a
67,dz,c,45987,18.5167,1,3.8225,11,14.5100,50,.9094,.4370,.3404,a
68,po,d,24273,37.2583,3,3.1424,20,2.4538,36,.8386,.8307,.1111,a
69,ke,d,33625,11.3667,1,2.8160,14,8.0281,49,.8504,.4488,.1048,a
70,kl,d,35573,35.7417,2,16.4710,208,5.3424,38,.8976,.8465,.2258,a
71,kl,d,24946,36.9333,4,3.6321,41,2.5766,31,.7756,.8780,.0955,a
72,kl,d,35077,37.4750,3,14.7845,91,3.5217,35,.8189,.8307,.2413,a
73,kw,c,44889,15.0500,3,5.2641,61,7.8786,51,.7677,.2087,.0922,a
74,bf,d,36140,16.6750,1,7.7666,50,7.6170,50,.8858,.4173,.0093,a
75,kl,d,21829,41.0500,4,4.9377,70,2.6407,35,.6535,.6378,.0187,a
76,bf,d,33235,38.1250,2,9.5347,127,5.2997,39,.8543,.7756,.0581,a
77,dz,c,45668,28.2667,1,5.3729,54,9.3843,44,.9961,.7362,.1928,a
78,ax,d,21688,7.2500,3,2.0000,0,2.3577,44,.6811,.3740,.0411,a
79,ke,d,25584,34.2250,4,4.4481,62,3.2174,31,.8504,.9606,.0268,a
80,bf,d,37946,9.3083,1,5.3729,42,6.8161,47,.8701,.5157,.0722,a
81,11,c,44074,26.1000,0,5.3729,9,5.8069,47,.9528,.6339,.1769,a
82,ob,d,30649,36.7167,2,2.0000,0,4.2746,40,.9016,.7874,.1757,a
83,dz,c,43579,25.3417,2,3.1424,17,9.2508,45,.9921,.6614,.0477,a
84,ax,d,36211,11.3667,2,9.6979,176,6.9496,49,.8031,.3740,.1815,a
85,by,c,34404,15.2667,2,5.4545,42,2.5766,51,.8386,.3386,.1467,a
86,dz,d,36600,18.0833,3,4.3121,38,2.9344,51,.8346,.2677,.0963,a
87,dz,c,46660,20.1417,2,19.3543,13,5.6147,50,.9173,.4291,.1803,a
88,kl,d,33483,4.6500,1,2.8160,0,3.2921,45,.8543,.5827,.0618,a
89,dz,c,40320,22.5250,1,6.8962,-62,8.8557,48,.9646,.5669,.2207,a
90,kl,d,35644,34.4417,1,3.6321,7,2.4805,41,.9449,.7992,.1012,a
91,11,c,45137,12.5583,1,18.1847,42,7.0563,50,.8228,.3740,.1386,a
92,by,c,43331,22.3083,1,7.8754,67,7.2966,48,.9646,.5709,.1800,a
93,bf,d,40143,13.5333,0,8.5283,24,6.2021,49,.8937,.4961,.1628,a
94,dz,c,40780,17.5417,2,5.6450,46,5.1449,51,.8583,.3307,.1149,a
95,ax,d,,28.7000,3,3.1424,28,7.7878,39,.9843,.8386,.0477,a
96,kl,d,31358,33.3583,4,3.6321,45,9.3202,30,.8701,.9724,.1422,a
97,po,c,42197,5.0833,1,2.8160,3,8.7863,46,.8701,.5827,.1973,a
98,by,d,39611,8.8750,0,3.6321,10,6.6452,47,.9291,.6063,.0326,a
99,kl,d,28312,35.7417,3,5.3729,77,4.8886,35,.8701,.8819,.0477,a
100,dz,c,43118,27.8333,4,7.7122,103,7.8305,39,.9803,.7992,.1670,a
101,bf,d,36069,8.1167,0,6.0802,24,9.1921,47,.8976,.5669,.0445,a
102,dz,d,21333,19.7083,2,6.0802,45,2.8650,50,.9173,.4331,.1107,a
103,ax,d,,12.1250,4,6.6242,115,3.1319,49,.6024,.0630,.0093,a
104,kl,d,27922,35.4167,2,5.2641,66,4.4080,39,.9173,.8268,.0524,a
105,kl,d,21829,38.0167,3,2.8160,25,2.7155,35,.7953,.8110,.0661,a
106,kl,d,38442,4.1083,2,15.9542,237,8.7970,42,.7480,.5551,.0599,a
107,kl,d,32562,42.7833,3,8.5827,75,7.2859,39,.6654,.5354,.1858,a
108,by,c,43189,10.0667,0,16.7158,14,8.1883,47,.9134,.5748,.1966,a
109,dz,d,38407,17.9750,4,9.5347,136,8.1349,51,.7874,.1850,.1125,a
110,dz,c,44358,17.8667,2,9.5347,78,6.6719,51,.8780,.3701,.2253,a
111,kl,d,32102,6.4917,3,4.9377,51,10.4949,42,.6142,.3543,.1220,a
112,bf,d,42976,18.6250,1,6.6242,29,5.0381,49,.9291,.5157,.1338,a
113,11,c,48608,15.5917,1,6.4066,-4,14.4567,50,.8701,.4016,.3388,a
114,dz,c,52080,21.2250,2,18.4295,178,16.4749,49,.9409,.4882,.2727,a
115,kl,d,35679,4.9750,3,9.7523,196,8.2577,41,.6890,.4882,.1775,a
116,kl,d,,6.4917,3,8.2019,-6,6.8054,43,.6693,.3976,.0337,a
117,kl,d,39824,36.6083,2,16.0358,235,6.3302,37,.8780,.8307,.0460,a
118,dz,c,42835,27.9417,3,4.9377,70,10.4575,39,.9843,.8031,.1694,a
119,bf,d,34369,12.4500,1,13.5333,88,7.9106,49,.8740,.4724,.0599,a
120,by,d,36175,15.0500,2,5.4545,83,10.4575,51,.8228,.3110,.1085,a
121,ax,d,27816,18.0833,3,4.9377,54,4.1784,51,.8189,.2402,.0944,a
122,by,d,34900,19.9250,0,14.6757,65,2.8009,48,.9409,.5512,.0793,a
123,kl,d,33589,9.5250,2,10.0243,164,6.7520,47,.7165,.3150,.0436,a
124,bf,d,25938,9.4167,3,7.2226,53,4.8993,47,.6299,.2244,.0870,a
125,bf,d,33944,37.0417,2,6.8962,98,7.7772,38,.8701,.8150,.1126,a
126,ax,d,37592,11.1500,2,7.1682,58,5.0434,49,.7677,.3307,.0609,a
127,kl,d,41524,9.3083,2,6.1618,37,6.6559,47,.7205,.3268,.1344,a
128,kl,d,39186,9.4167,3,4.3121,0,6.5384,47,.7008,.2992,.1248,a
129,kl,d,35502,33.2500,0,2.8160,0,2.5072,45,.9488,.6811,.1053,a
130,kl,d,26576,33.3583,2,3.6321,20,8.3805,38,.9449,.8780,.0639,a
131,vv,c,50876,13.1000,1,9.0179,35,11.7389,49,.8858,.4921,.0711,b
132,pe,c,55126,34.7667,1,3.6321,6,13.6718,44,.9449,.7244,.2077,b
133,11,c,51690,15.8083,1,5.3729,16,4.3333,50,.8898,.4449,.3612,b
134,nb,a,55162,26.9667,2,4.3121,17,29.2199,44,1.0000,.7244,.1628,b
135,pz,a,58350,6.1667,1,6.7602,33,23.5976,45,.8150,.5236,.1464,b
136,vv,c,59554,36.7167,1,10.0243,-11,15.5192,44,.9291,.7126,.1949,b
137,nb,a,52080,18.5167,2,4.9377,28,14.0509,50,.8976,.4016,.2081,b
138,kd,c,66993,24.3667,1,17.7495,117,17.0622,47,.9803,.6299,.4108,b
139,kd,c,55516,42.7833,3,5.2641,47,3.4790,39,.6575,.5354,.0213,b
140,pz,a,58420,10.3917,0,6.6242,4,17.8845,47,.8976,.5472,.2620,b
141,nb,a,54064,19.0583,2,5.6450,19,18.4078,50,.9173,.4449,.4422,b
142,qp,c,67382,33.5750,1,20.2520,109,5.7002,42,.9567,.7717,.3650,b
143,nb,a,58314,18.9500,1,10.1603,142,30.4052,49,.9252,.4882,.0715,b
144,nb,a,47440,18.6250,1,6.4066,66,8.2470,50,.9173,.4606,.3162,b
145,pz,a,69047,17.6500,1,11.8196,58,11.2798,49,.9213,.5118,.2355,b
146,pz,a,68799,5.9500,0,7.7122,41,27.7729,46,.9016,.5906,.0940,b
147,kd,c,,15.1583,1,5.4545,25,5.2410,50,.8740,.4173,.2384,b
148,kl,c,40461,40.1833,2,9.5347,-50,4.2318,40,.8268,.6929,.2035,b
149,nb,a,59589,28.2667,1,17.0422,55,31.1100,44,.9961,.7441,.1471,b
150,pz,a,58066,36.5000,1,3.6321,21,25.1246,41,.9173,.7638,.3056,b
151,pz,a,59129,29.1333,0,13.5333,95,31.1260,45,.9724,.6969,.2253,b
152,al,a,57854,31.8417,2,6.8962,89,35.2480,39,.9685,.8780,.6768,b
153,kd,c,51796,38.7750,3,14.4853,201,9.6886,37,.8031,.7677,.1627,b
154,pz,a,55976,15.7000,1,4.3121,15,19.2193,49,.9055,.4921,.3374,b
155,pz,a,57393,23.9333,1,9.6979,49,30.8217,47,.9724,.6181,.4994,b
156,pe,c,57393,32.4917,1,2.8160,8,8.4873,43,.9685,.7598,.0473,b
157,qp,c,66780,15.7000,0,7.7666,10,3.2814,47,.9331,.5945,.1857,b
158,nb,a,52859,12.4500,2,11.3028,181,3.9275,50,.7638,.2835,.2696,b
159,kd,c,54843,7.3583,2,5.3729,30,10.3934,46,.7835,.4606,.3894,b
160,kd,c,55268,8.9833,2,18.8103,278,8.0388,47,.7559,.3819,.0905,b
161,pz,a,51017,6.9250,1,8.5283,60,15.7755,46,.8071,.4961,.3529,b
162,nb,a,45102,18.0833,0,4.3121,7,10.0464,49,.9291,.5354,.1248,b
163,pz,a,63132,14.0750,1,12.6084,45,28.9743,50,.8465,.3898,.1390,b
164,po,c,54311,23.5000,1,6.1618,2,14.6542,47,.9685,.6102,.3317,b
165,de,a,51867,7.0333,1,8.3651,27,10.7084,47,.8661,.5472,.1889,b
166,pz,a,59235,32.9250,1,20.3336,105,33.7370,43,.9646,.7677,.4733,b
167,pz,a,56118,28.9167,1,11.1124,26,31.2595,44,.9961,.7559,.5813,b
168,pz,a,58987,40.0750,0,13.5333,31,30.5174,45,.9173,.6457,.1924,b
169,kl,d,40886,11.5833,1,3.8225,13,4.2959,49,.8268,.4055,.0510,b
170,qp,c,57429,42.6750,1,13.4517,68,6.9656,44,.8465,.6063,.2532,b
171,pz,a,57039,33.1417,1,14.2405,54,32.3594,41,.9606,.8071,.8256,b
172,de,a,47935,33.5750,1,4.9377,20,8.7970,44,.9567,.7283,.4863,b
173,kl,d,42268,38.2333,3,10.8132,147,5.5293,35,.7835,.8031,.1666,b
174,kd,c,51796,38.2333,2,8.5827,95,8.1883,38,.8346,.7835,.3421,b
175,nn,b,62175,39.6417,0,22.4009,-88,6.6719,45,.9134,.6575,.1386,b
176,mm,a,42020,6.4917,1,2.0000,0,5.3638,46,.8622,.5512,.4555,b
177,vv,c,58562,24.6917,1,10.0243,39,9.0372,47,.9764,.6339,.2143,b
178,qp,c,68374,35.7417,1,18.8103,137,4.8672,42,.9331,.7598,.3223,b
179,po,c,54843,27.4000,1,15.0565,90,15.1187,45,.9961,.7165,.2645,b
180,qp,c,63840,17.1083,1,10.1603,73,2.6407,50,.8976,.4409,.1350,b
181,kl,c,47971,24.5833,3,8.3651,71,12.1874,46,.9764,.6181,.2098,b
182,qp,c,59377,12.5583,1,14.7845,-1,10.8152,49,.8504,.4213,.1871,b
183,kd,c,62777,25.7750,2,14.2405,102,12.8869,45,.9961,.6772,.2714,b
184,pz,a,59589,24.2583,1,24.0873,124,33.7637,47,.9803,.6260,.5430,b
185,kw,c,53178,32.2750,4,10.9764,199,10.9380,33,.9173,.9567,.1977,b
186,pz,a,56472,30.7583,1,8.2019,27,32.2580,42,.9843,.7992,.4237,b
187,by,c,43437,20.9000,1,3.6321,9,7.1258,49,.9528,.5551,.2217,b
188,pe,b,65824,39.3167,0,13.0981,84,4.2746,46,.9252,.6417,.3570,b
189,rn,a,43295,8.7667,2,3.8225,21,5.6307,47,.7835,.4173,.1467,b
190,pe,a,56578,8.8750,0,12.3908,11,7.3233,47,.8976,.5591,.3056,b
191,mm,c,58243,38.5583,2,4.3121,26,14.8144,40,.8622,.7480,.1380,b
192,bf,d,41276,36.8250,0,7.1682,48,3.3188,44,.9291,.7008,.0460,b
193,vv,c,54099,8.0083,1,14.7845,121,15.9303,47,.8346,.4961,.1214,b
194,pz,a,52505,9.0917,1,7.4674,21,14.3499,47,.8701,.5197,.2640,b
195,pe,b,68091,32.9250,2,15.1926,-66,4.9420,39,.9567,.8622,.4556,b
196,pz,a,56933,18.8417,1,12.7445,53,31.6440,49,.9291,.5157,.6301,b
197,nb,a,52611,21.3333,3,5.6450,65,23.0797,49,.9173,.4252,.7631,b
198,pz,a,57854,30.3250,1,14.0501,66,33.4326,44,.9803,.7362,.4299,b
199,pz,a,57499,21.9833,1,12.3908,72,30.0795,48,.9606,.5787,.6180,b
200,pz,a,61750,33.9000,2,15.0565,174,31.0192,37,.9291,.8858,.1310,b
201,nb,a,44429,21.0083,1,3.1424,-6,10.5162,49,.9488,.5197,.1457,b
202,de,a,47688,9.6333,1,6.4066,45,12.7107,48,.8583,.4921,.6736,b
203,vv,c,50450,6.3833,0,5.2641,14,4.6643,47,.9055,.5906,.3835,b
204,gj,c,58420,28.7000,1,26.6714,191,16.1439,44,.9921,.7402,.1973,b
205,pz,a,44606,39.5333,1,5.2641,40,6.1647,41,.8622,.7087,.8934,b
206,pz,a,,29.8917,1,12.9893,86,33.3686,43,.9921,.7756,.4435,b
207,kd,c,57854,13.5333,1,2.8160,9,9.7313,50,.8386,.3780,.1811,b
208,qp,c,58066,27.5083,1,6.0802,5,10.1585,46,.9843,.6890,.0882,b
209,pe,c,61113,25.8833,1,2.8160,6,16.6458,46,.9921,.6772,.1751,b
210,vv,c,56508,37.6917,1,4.4481,22,17.7403,43,.9134,.7126,.1833,b
211,pz,a,46696,16.3500,0,2.8160,-5,10.4575,48,.9213,.5433,.7571,b
212,dz,d,43047,38.4500,4,6.1618,65,5.0221,32,.7283,.7992,.1482,b
213,pz,a,51301,13.2083,1,6.0802,26,10.5162,50,.8346,.3819,.2869,b
214,pz,a,44216,19.6000,1,7.8754,42,7.7665,49,.9370,.5236,.0452,b
215,po,c,47333,21.3333,2,4.3121,2,20.9119,49,.9449,.5000,.2844,b
216,pz,a,58987,36.6083,2,10.1603,78,33.6569,39,.8937,.8071,.2012,b
217,pz,a,,37.2583,2,8.7187,87,30.1810,37,.8543,.8189,.0955,b
218,nb,a,64478,13.6417,1,5.6450,24,8.7970,50,.8425,.3858,.3266,b
219,kl,c,49884,12.5583,3,4.5841,32,14.3712,50,.6772,.1457,.0940,b
220,pz,a,61148,38.1250,0,4.4481,15,24.1529,45,.9252,.6772,.3112,b
221,pz,a,56331,42.6750,0,10.4052,0,23.9660,45,.8898,.6142,.6618,b
222,qp,c,69614,25.4500,0,13.3701,67,19.5824,47,.9685,.6417,.1759,b
223,de,a,54241,33.6833,0,12.6084,61,14.1790,46,.9449,.6654,.2560,b
224,kd,c,62034,23.7167,2,10.0243,26,15.0386,47,.9803,.5984,.4631,b
225,po,c,60369,15.3750,1,16.6886,63,16.2667,50,.8583,.3780,.3763,b
226,al,b,63911,6.4917,1,7.7666,14,10.5856,46,.8701,.5591,.1440,b
227,vv,c,44145,10.8250,3,6.7602,66,9.7741,49,.6772,.2165,.2130,b
228,de,a,46271,18.4083,0,11.3028,-3,5.0221,49,.9291,.5276,.1987,b
229,pz,a,68941,31.3000,1,14.2405,192,24.7082,43,.9803,.7795,.1826,b
230,nb,a,48113,6.9250,2,12.6084,-47,9.3149,45,.7638,.4567,.2484,b
231,qp,c,63415,42.6750,2,14.8933,26,13.4155,42,.7953,.5945,.1999,b
232,pe,a,60971,15.1583,0,3.1424,0,28.3282,48,.9213,.5551,.2912,b
233,kl,c,46235,14.5083,2,3.6321,8,10.8846,50,.8346,.3504,.0042,b
234,pz,a,58704,40.2917,1,6.4066,27,14.7023,43,.8701,.6732,.1329,b
235,kl,c,54914,16.3500,2,11.8196,94,17.7136,51,.8425,.3228,.0360,b
236,de,a,50486,16.0250,1,7.1682,13,16.8967,50,.8858,.4331,.2772,b
237,vv,c,61750,38.9917,0,6.0802,32,10.3294,44,.9173,.6732,.4450,b
238,kw,c,57570,34.6583,2,8.2019,81,17.1797,38,.9252,.8583,.1178,b
239,11,c,44677,18.1917,1,6.0802,32,10.7832,50,.9134,.4606,.0799,b
240,pz,a,56968,41.8083,1,13.5877,48,19.6945,45,.8819,.6299,.2649,b
241,de,a,57499,18.6250,1,3.1424,6,28.3069,49,.9291,.5079,.8457,b
242,pe,c,59271,40.7250,1,3.6321,19,6.2982,44,.8898,.6535,.1992,b
243,al,b,69012,12.9917,2,6.0802,43,5.7269,50,.7559,.2520,.1547,b
244,qp,c,62954,41.5917,0,3.6321,-1,13.9975,46,.9094,.6299,.2873,b
245,kd,b,67276,4.9750,2,16.4438,66,10.5536,44,.7795,.5354,.3149,b
246,de,a,60192,6.9250,0,23.2169,155,32.5783,47,.9291,.6102,.7424,b
247,qw,c,71562,35.6333,2,32.0029,274,22.5030,39,.9173,.8189,.3443,b
248,11,c,48396,14.2917,0,3.6321,-1,8.3111,49,.8976,.4961,.0836,b
249,pe,a,63450,17.8667,1,5.3729,15,4.1357,50,.9094,.4567,.3048,b
250,pz,a,61927,23.0667,2,15.2742,56,32.2420,48,.9685,.5630,.2185,b
251,pe,a,55728,41.9167,0,14.7845,35,22.2894,46,.9173,.6220,.5720,b
252,pe,a,59023,17.7583,1,4.9377,-5,30.1276,49,.9213,.5000,.2640,b
253,pz,a,58102,9.3083,1,8.3651,14,22.7753,48,.7992,.4252,.6785,b
254,nb,a,57464,39.6417,1,9.2899,70,23.7951,43,.8858,.6890,.3471,b
255,pe,c,53461,9.9583,2,2.8160,6,5.3691,48,.7677,.3622,.0132,b
256,kd,c,61892,4.4333,2,16.7702,29,8.8450,42,.7283,.5354,.2956,b
257,nb,a,57429,16.0250,2,6.0802,37,31.2916,51,.8465,.3346,.2073,b
258,nb,a,53957,5.9500,0,2.8160,-1,17.6869,47,.9094,.5984,.2995,b
259,11,c,54382,39.9667,1,16.8790,117,8.2791,43,.8819,.6811,.3725,b
260,kl,c,50061,22.6333,2,6.0802,49,9.6886,48,.9685,.5630,.3434,b
261,pz,a,59235,33.2500,0,23.0537,118,33.3525,46,.9449,.6535,.8917,b
262,kw,c,62813,35.9583,2,20.3336,302,11.8350,38,.8976,.8346,.0903,b
263,pz,a,65151,33.5750,1,3.6321,10,32.4715,43,.9567,.7480,.2304,b
264,nn,a,56685,13.7500,2,9.2899,138,6.8001,51,.7835,.2717,.0880,b
265,de,a,48219,17.1083,1,4.3121,12,12.9403,49,.9094,.4803,.9127,b
266,qp,c,57995,19.3833,2,8.2019,95,10.4041,51,.8858,.3661,.2633,b
267,qp,c,56331,12.5583,0,10.1603,64,11.2691,47,.9213,.5827,.3871,b
268,pz,a,51088,7.2500,1,4.4481,5,12.5932,46,.8346,.5118,.2115,b
269,al,c,68232,11.6917,1,7.7122,45,20.1003,49,.8110,.3780,.4213,b
270,pz,a,61750,12.0167,2,4.9377,23,22.7380,50,.7520,.2756,.0862,b
271,al,c,53851,40.2917,1,12.9893,113,15.4765,42,.8583,.6811,.1174,b
272,kl,c,50698,6.0583,2,7.8754,37,7.1685,45,.7913,.5039,.2621,b
273,rn,a,42232,16.5667,0,6.8962,5,6.8054,49,.9173,.5236,.0976,b
274,qp,c,58527,25.4500,1,16.6886,108,10.7992,46,.9882,.6614,.2705,b
275,pe,a,65292,17.7583,1,16.4710,147,4.4401,50,.9134,.4724,.2390,b
276,pz,a,68162,20.5750,1,16.9878,75,33.6035,49,.9488,.5433,.4115,b
277,pe,a,54064,20.0333,1,8.3651,32,15.7061,49,.9449,.5472,.3565,b
278,de,a,45350,11.3667,0,12.6084,23,4.3333,47,.9213,.5827,.1882,b
279,nb,a,66178,11.1500,1,12.6084,94,29.1718,49,.8110,.3858,.3814,b
280,pz,a,61679,29.0250,1,11.8196,42,33.9399,45,.9803,.7087,.2937,b
281,kw,c,47652,17.4333,2,5.6450,32,11.1783,51,.8661,.3425,.1879,b
282,gj,c,58562,24.0417,2,29.2283,200,16.5817,47,.9803,.6063,.1634,b
283,pe,a,60617,18.6250,0,5.6450,7,18.4238,48,.9370,.5748,.1036,b
284,pz,a,58102,40.4000,1,3.6321,7,18.5092,44,.9016,.6575,.8864,b
285,pe,a,60510,15.7000,0,4.4481,4,18.3917,48,.9291,.5748,.0948,b
286,de,a,57854,39.1000,0,11.7924,23,24.9698,45,.9173,.6614,.7552,b
287,pz,a,53532,39.6417,1,15.4646,98,12.3957,42,.8701,.6969,.4023,b
288,al,c,60121,6.3833,2,24.0601,170,15.4338,45,.7559,.4724,.2384,b
289,de,a,50096,26.9667,1,4.4481,0,14.1683,46,.9803,.6772,.5418,b
290,de,a,58208,4.0000,0,10.7860,20,28.2481,46,.9213,.6142,.7696,b
291,pz,a,64194,30.6500,1,6.7602,-3,8.0975,44,.9764,.7323,.1973,b
292,pz,a,59554,13.7500,4,11.3028,-2,6.4530,51,.6378,.0472,.2553,b
293,de,a,48573,39.7500,1,8.9635,28,14.0402,44,.8976,.6732,.6922,b
294,pz,a,56401,38.2333,3,14.4581,202,20.8372,36,.8150,.7913,.1725,b
295,kl,c,44464,42.2417,2,11.3028,4,5.2997,41,.7677,.6024,.2221,b
296,nb,a,57925,10.8250,1,7.7122,96,30.7950,48,.8583,.4724,.1220,b
297,qp,c,62813,38.4500,1,7.8754,40,12.9777,42,.8976,.7165,.3333,b
298,de,a,46271,14.8333,1,8.5827,13,3.7673,50,.8661,.4134,.2339,b
299,pz,a,50557,5.9500,2,5.4545,31,10.5002,45,.7913,.5118,.4039,b
300,pe,c,54666,5.9500,2,2.8160,8,8.9518,45,.7795,.5039,.1213,b
301,kl,c,46377,10.8250,1,3.8225,-13,15.9036,49,.8307,.4291,.1390,b
302,al,a,54028,10.9333,2,19.2183,179,5.4385,49,.7795,.3504,.3409,b
303,qp,c,61502,19.4917,0,10.3236,17,9.9396,48,.9409,.5551,.1138,b
304,pe,b,61644,7.3583,0,12.2276,50,7.6330,47,.8858,.5630,.1706,b
305,mm,a,52009,31.7333,0,2.0000,0,13.6931,46,.9528,.6693,.3570,b
306,pz,a,48183,11.1500,0,2.0000,0,11.0608,48,.9055,.5551,.1257,b
307,pz,a,56791,38.6667,1,21.2040,39,31.8735,43,.9016,.7008,.2606,b
308,kw,c,60440,25.1250,1,21.4760,251,13.2980,47,.9803,.6457,.1432,b
309,vv,c,56508,37.0417,1,7.4674,51,11.5254,41,.9055,.7638,.1685,b
